dr_asset_id,dr_discharge,dr_jurisdiction,dr_lat,dr_lon,dr_owner,dr_subtype,dr_subwatershed,dr_type
VC_39,Lower Thornapple River,Village of Caledonia,42.7880934984,-85.507276637,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_38,Lower Thornapple River,Village of Caledonia,42.7879203167,-85.5074267461,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_212,Lower Thornapple River,Village of Caledonia,42.8023159472,-85.5075046188,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_45,Lower Thornapple River,Village of Caledonia,42.789438013099996,-85.5075809519,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_91,Lower Thornapple River,Village of Caledonia,42.7903436127,-85.50759641229999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_211,Lower Thornapple River,Village of Caledonia,42.8022214739,-85.50761370229999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_33690,Lower Thornapple River,Village of Caledonia,42.7988227262,-85.5076744685,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_171,Lower Thornapple River,Village of Caledonia,42.7966391688,-85.5077226252,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_360,Lower Thornapple River,Village of Caledonia,42.79907074,-85.50772706890001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_92,Lower Thornapple River,Village of Caledonia,42.7903512399,-85.507805535,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_109,Lower Thornapple River,Village of Caledonia,42.7911274156,-85.5078125841,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_175,Lower Thornapple River,Village of Caledonia,42.797286097,-85.5078290087,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_110,Lower Thornapple River,Village of Caledonia,42.7912545568,-85.50784888310001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_176,Lower Thornapple River,Village of Caledonia,42.7972466627,-85.5080773783,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_195,Lower Thornapple River,Village of Caledonia,42.7999793414,-85.5081102763,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_157,Lower Thornapple River,Village of Caledonia,42.7957791992,-85.5081235962,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_156,Lower Thornapple River,Village of Caledonia,42.795797729200004,-85.508126572,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_155,Lower Thornapple River,Village of Caledonia,42.7958677651,-85.50812876,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_154,Lower Thornapple River,Village of Caledonia,42.7958894799,-85.50812910350001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_196,Lower Thornapple River,Village of Caledonia,42.8001891629,-85.50813955470001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_167,Lower Thornapple River,Village of Caledonia,42.7974228005,-85.5081474995,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_168,Lower Thornapple River,Village of Caledonia,42.7975301714,-85.5081486609,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_210,Lower Thornapple River,Village of Caledonia,42.8022170117,-85.5081713105,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_112,Lower Thornapple River,Village of Caledonia,42.792208617,-85.5082246047,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_119,Lower Thornapple River,Village of Caledonia,42.7955967419,-85.50826679859999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_161,Lower Thornapple River,Village of Caledonia,42.7964125138,-85.50827794770001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_153,Lower Thornapple River,Village of Caledonia,42.7960510992,-85.5082795024,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_152,Lower Thornapple River,Village of Caledonia,42.795075982,-85.5082823406,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_193,Lower Thornapple River,Village of Caledonia,42.799118251399996,-85.5082845629,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_165,Lower Thornapple River,Village of Caledonia,42.7966496627,-85.5082863917,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_201,Lower Thornapple River,Village of Caledonia,42.800694918000005,-85.5082887659,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_32320,Lower Thornapple River,Village of Caledonia,42.798626409200004,-85.5082963969,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_111,Lower Thornapple River,Village of Caledonia,42.7921352097,-85.508296748,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_203,Lower Thornapple River,Village of Caledonia,42.801060117199995,-85.50833826600001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_202,Lower Thornapple River,Village of Caledonia,42.8009739746,-85.5083389122,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_204,Lower Thornapple River,Village of Caledonia,42.8011451098,-85.5083424208,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_192,Lower Thornapple River,Village of Caledonia,42.798445299,-85.5083522205,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_207,Lower Thornapple River,Village of Caledonia,42.8020221547,-85.5083802851,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_188,Lower Thornapple River,Village of Caledonia,42.7983302831,-85.5084240925,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_209,Lower Thornapple River,Village of Caledonia,42.8020962088,-85.50842448819999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_191,Lower Thornapple River,Village of Caledonia,42.7983709601,-85.508450305,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_206,Lower Thornapple River,Village of Caledonia,42.8013297137,-85.5084522553,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_93,Lower Thornapple River,Village of Caledonia,42.7931250392,-85.5085417881,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_205,Lower Thornapple River,Village of Caledonia,42.801329754,-85.5085581124,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_185,Lower Thornapple River,Village of Caledonia,42.7977083073,-85.5085689939,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_199,Lower Thornapple River,Village of Caledonia,42.800412631,-85.5085848893,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_194,Lower Thornapple River,Village of Caledonia,42.7991069921,-85.5086609774,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_94,Lower Thornapple River,Village of Caledonia,42.7901563,-85.5086950956,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_197,Lower Thornapple River,Village of Caledonia,42.800192250900004,-85.5087898162,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_198,Lower Thornapple River,Village of Caledonia,42.8003988594,-85.5088097517,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_170,Lower Thornapple River,Village of Caledonia,42.7974121751,-85.5088208223,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_169,Lower Thornapple River,Village of Caledonia,42.7974847037,-85.508823765,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_208,Lower Thornapple River,Village of Caledonia,42.802318505900004,-85.5088427407,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_62,Lower Thornapple River,Village of Caledonia,42.793379899899996,-85.5089662884,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_34,Lower Thornapple River,Village of Caledonia,42.7982442303,-85.5090587016,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_148,Lower Thornapple River,Village of Caledonia,42.794703338299996,-85.5090894894,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_30810,Lower Thornapple River,Village of Caledonia,42.7896063835,-85.5090950017,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_95,Lower Thornapple River,Village of Caledonia,42.7900114094,-85.509111124,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_46,Lower Thornapple River,Village of Caledonia,42.7894094016,-85.5092022205,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_214,Lower Thornapple River,Village of Caledonia,42.8006709833,-85.50927570729999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_182,Lower Thornapple River,Village of Caledonia,42.7974016599,-85.5093565392,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_183,Lower Thornapple River,Village of Caledonia,42.7974768488,-85.5093654452,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_177,Lower Thornapple River,Village of Caledonia,42.7966856601,-85.50936599949999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_32180,Lower Thornapple River,Village of Caledonia,42.7970708975,-85.5093741281,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_147,Lower Thornapple River,Village of Caledonia,42.795061479699996,-85.50946344100001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_63,Lower Thornapple River,Village of Caledonia,42.7937346998,-85.509569961,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_32370,Lower Thornapple River,Village of Caledonia,42.79831623,-85.5096297093,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_180,Lower Thornapple River,Village of Caledonia,42.7973143648,-85.50977767090001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_96,Lower Thornapple River,Village of Caledonia,42.7902071843,-85.50982672399999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_48,Lower Thornapple River,Village of Caledonia,42.7893941563,-85.5099751378,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_47,Lower Thornapple River,Village of Caledonia,42.7892978713,-85.50997684640001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
