dr_asset_id,dr_discharge,dr_jurisdiction,dr_lat,dr_lon,dr_owner,dr_subtype,dr_subwatershed,dr_type
GRANDV_40272773,Direct Drainage to Lower Grand River,City of Grandville,42.909185524099996,-85.7350031175,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272774,Direct Drainage to Lower Grand River,City of Grandville,42.9090901915,-85.7350806534,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272766,Direct Drainage to Lower Grand River,City of Grandville,42.9091552031,-85.7363951738,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272767,Direct Drainage to Lower Grand River,City of Grandville,42.9090616046,-85.73641756010001,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272784,Direct Drainage to Lower Grand River,City of Grandville,42.909002867199995,-85.73920891770001,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272783,Direct Drainage to Lower Grand River,City of Grandville,42.9090959501,-85.7392112856,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272785,Direct Drainage to Lower Grand River,City of Grandville,42.9090791801,-85.74005273350001,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272786,Direct Drainage to Lower Grand River,City of Grandville,42.9089847663,-85.74006851850001,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_4016212300,Rush Creek,City of Grandville,42.8791537563,-85.7476613603,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_4016216000,Rush Creek,City of Grandville,42.881526693000005,-85.74795774649999,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_4016212600,Rush Creek,City of Grandville,42.879167619,-85.7490502152,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_4016209900,Rush Creek,City of Grandville,42.8806442452,-85.749921908,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_4015945800,Rush Creek,City of Grandville,42.8918465773,-85.750824498,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_4015945700,Rush Creek,City of Grandville,42.8917447231,-85.7509957354,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_4016136000,Rush Creek,City of Grandville,42.8861951133,-85.7512446101,City of Grandville,16.0,Rush Creek,Storm Water Inlet Drain
GRANDV_4015788500,Rush Creek,City of Grandville,42.8836052301,-85.7530993186,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_4016138300,Rush Creek,City of Grandville,42.8862095053,-85.7532618351,City of Grandville,16.0,Rush Creek,Storm Water Inlet Drain
GRANDV_4015788200,Rush Creek,City of Grandville,42.8837396148,-85.7548570699,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_4016276500,Direct Drainage to Lower Grand River,City of Grandville,42.907928168000005,-85.7612646236,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_4016274800,Direct Drainage to Lower Grand River,City of Grandville,42.9075059005,-85.76135004449999,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_4016324300,Direct Drainage to Lower Grand River,City of Grandville,42.9075074598,-85.7655311134,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_4016328000,Direct Drainage to Lower Grand River,City of Grandville,42.9088126715,-85.76560015369999,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_4016314400,Direct Drainage to Lower Grand River,City of Grandville,42.9065687818,-85.7676643692,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_4016315400,Direct Drainage to Lower Grand River,City of Grandville,42.9063580413,-85.7678620125,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
VF_5,Spring Lake / Norris Creek,Village of Fruitport,43.1319433696,-86.1550488198,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_12,Spring Lake / Norris Creek,Village of Fruitport,43.130303783500004,-86.15505715649999,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_13,Spring Lake / Norris Creek,Village of Fruitport,43.130152536400004,-86.1550685704,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_2,Spring Lake / Norris Creek,Village of Fruitport,43.1309568802,-86.15511136100001,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_14,Spring Lake / Norris Creek,Village of Fruitport,43.1285423579,-86.1551141683,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_16,Spring Lake / Norris Creek,Village of Fruitport,43.129352268299996,-86.15513081579999,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_15,Spring Lake / Norris Creek,Village of Fruitport,43.128966303,-86.1551326293,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_3,Spring Lake / Norris Creek,Village of Fruitport,43.1272576076,-86.1551349801,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_1,Spring Lake / Norris Creek,Village of Fruitport,43.1309566237,-86.15526099969999,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_17,Spring Lake / Norris Creek,Village of Fruitport,43.1293516958,-86.155298331,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_4,Spring Lake / Norris Creek,Village of Fruitport,43.1319435916,-86.15529933010001,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_6,Spring Lake / Norris Creek,Village of Fruitport,43.1280347896,-86.15535241139999,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_7,Spring Lake / Norris Creek,Village of Fruitport,43.1319780175,-86.1568900117,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_18,Spring Lake / Norris Creek,Village of Fruitport,43.1295239246,-86.1569166283,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_8,Spring Lake / Norris Creek,Village of Fruitport,43.131976115600004,-86.15704888879999,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_11,Spring Lake / Norris Creek,Village of Fruitport,43.130352656099994,-86.15706864299999,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_10,Spring Lake / Norris Creek,Village of Fruitport,43.1319878771,-86.1592007022,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
VF_9,Spring Lake / Norris Creek,Village of Fruitport,43.13198830100001,-86.15935729790002,Village of Fruitport,1.0,Spring Lake / Norris Creek,Storm Water Inlet Drain
CWY_40089252,Buck Creek,City of Wyoming,42.8924213849,-85.7044513158,City of Wyoming,15.0,Buck Creek,Storm Water Inlet Drain
