dr_asset_id,dr_discharge,dr_jurisdiction,dr_lat,dr_lon,dr_owner,dr_subtype,dr_subwatershed,dr_type
GRANDV_40272773,Direct Drainage to Lower Grand River,City of Grandville,42.909185524099996,-85.7350031175,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272774,Direct Drainage to Lower Grand River,City of Grandville,42.9090901915,-85.7350806534,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40161191,Buck Creek,City of Grandville,42.8796093575,-85.7363240106,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40272766,Direct Drainage to Lower Grand River,City of Grandville,42.9091552031,-85.7363951738,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272767,Direct Drainage to Lower Grand River,City of Grandville,42.9090616046,-85.73641756010001,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40161225,Buck Creek,City of Grandville,42.8791604085,-85.7364229651,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40161230,Buck Creek,City of Grandville,42.879603161999995,-85.7364839949,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40161224,Buck Creek,City of Grandville,42.879196274,-85.7365126439,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40161226,Buck Creek,City of Grandville,42.8788941798,-85.7367441057,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40161227,Buck Creek,City of Grandville,42.8789461075,-85.7368101833,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40161181,Buck Creek,City of Grandville,42.879139163299996,-85.73703551189999,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40161237,Buck Creek,City of Grandville,42.8789027654,-85.7370356156,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40161232,Buck Creek,City of Grandville,42.878594193299996,-85.73717998640001,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40161231,Buck Creek,City of Grandville,42.878642282399994,-85.7372411655,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40161238,Buck Creek,City of Grandville,42.879136736999996,-85.7375727621,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40161188,Buck Creek,City of Grandville,42.8791335071,-85.7382891082,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40272784,Direct Drainage to Lower Grand River,City of Grandville,42.909002867199995,-85.73920891770001,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272783,Direct Drainage to Lower Grand River,City of Grandville,42.9090959501,-85.7392112856,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40161326,Rush Creek,City of Grandville,42.8854269408,-85.739498076,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161327,Rush Creek,City of Grandville,42.8854254524,-85.7397777874,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161328,Rush Creek,City of Grandville,42.8850367219,-85.7398918701,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40272785,Direct Drainage to Lower Grand River,City of Grandville,42.9090791801,-85.74005273350001,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40272786,Direct Drainage to Lower Grand River,City of Grandville,42.9089847663,-85.74006851850001,City of Grandville,15.0,Direct Drainage to Lower Grand River,Storm Water Inlet Drain
GRANDV_40161329,Rush Creek,City of Grandville,42.885037956,-85.7400886802,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161289,Rush Creek,City of Grandville,42.8850352583,-85.7402380454,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161277,Rush Creek,City of Grandville,42.8857264103,-85.7402661063,City of Grandville,16.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161278,Rush Creek,City of Grandville,42.8856291388,-85.7403083207,City of Grandville,16.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161305,Rush Creek,City of Grandville,42.8845389066,-85.7416746976,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161304,Rush Creek,City of Grandville,42.8846427375,-85.7416781979,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161261,Rush Creek,City of Grandville,42.8855560624,-85.7420861562,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161263,Rush Creek,City of Grandville,42.8856369073,-85.7421001184,City of Grandville,16.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161264,Rush Creek,City of Grandville,42.885734744000004,-85.7421022922,City of Grandville,16.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161262,Rush Creek,City of Grandville,42.8855576137,-85.7421763167,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161260,Rush Creek,City of Grandville,42.885581309,-85.74254302,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161259,Rush Creek,City of Grandville,42.885584468299996,-85.7426683337,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161258,Rush Creek,City of Grandville,42.8856348366,-85.7430373471,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161257,Rush Creek,City of Grandville,42.885736259299996,-85.7430379973,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40159685,Rush Creek,City of Grandville,42.8828123295,-85.7433993467,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40159684,Rush Creek,City of Grandville,42.8828225684,-85.7436022091,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40159687,Rush Creek,City of Grandville,42.8824631595,-85.74360313439999,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40159683,Rush Creek,City of Grandville,42.8833630464,-85.7436082964,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40159682,Rush Creek,City of Grandville,42.8834767961,-85.74371804100001,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40159681,Rush Creek,City of Grandville,42.8838286265,-85.7437197467,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40158003,Buck Creek,City of Grandville,42.8786381994,-85.7439011462,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40158033,Buck Creek,City of Grandville,42.8787353894,-85.7439046142,City of Grandville,15.0,Buck Creek,Storm Water Inlet Drain
GRANDV_40159670,Rush Creek,City of Grandville,42.8841860778,-85.7441119284,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40225824,Rush Creek,City of Grandville,42.8819498653,-85.7441836097,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40161940,Rush Creek,City of Grandville,42.8859821831,-85.7442286587,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160738,Rush Creek,City of Grandville,42.8817506583,-85.74440716550001,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160737,Rush Creek,City of Grandville,42.8818458273,-85.7444165182,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160739,Rush Creek,City of Grandville,42.8816199257,-85.7444341984,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40159672,Rush Creek,City of Grandville,42.8841344795,-85.7445456146,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40159697,Rush Creek,City of Grandville,42.8825782153,-85.744578187,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160797,Rush Creek,City of Grandville,42.8828644604,-85.7446365414,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160798,Rush Creek,City of Grandville,42.883110799899995,-85.7446381433,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40159671,Rush Creek,City of Grandville,42.8839100431,-85.7446463422,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40158001,Rush Creek,City of Grandville,42.8786344795,-85.744834986,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40158032,Rush Creek,City of Grandville,42.878733057,-85.7448371803,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40225827,Rush Creek,City of Grandville,42.881847805999996,-85.7450951937,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160800,Rush Creek,City of Grandville,42.883104551399995,-85.7453098368,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160799,Rush Creek,City of Grandville,42.882860396,-85.7453114528,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160747,Rush Creek,City of Grandville,42.8816223627,-85.7454330025,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160746,Rush Creek,City of Grandville,42.8817199862,-85.7454346542,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160758,Rush Creek,City of Grandville,42.8818522579,-85.7454874928,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40159698,Rush Creek,City of Grandville,42.8825740423,-85.7455082326,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40157999,Rush Creek,City of Grandville,42.8787275539,-85.7456359384,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160729,Rush Creek,City of Grandville,42.8828395877,-85.7458678808,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
GRANDV_40160730,Rush Creek,City of Grandville,42.8832914475,-85.7458993304,City of Grandville,15.0,Rush Creek,Storm Water Inlet Drain
