"FID","SUBTYPE","JURISDICTI","OWNER","Source","LOCAL_ID","FACILITYID","Lat","Long","Subbasin"
"0.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C252","42.8011722159","-85.516234156","Lower Thornapple River"
"1.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C253","42.8011874634","-85.5163441","Lower Thornapple River"
"2.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C268","42.7992768263","-85.5162463752","Lower Thornapple River"
"3.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C269","42.7992640184","-85.516343562","Lower Thornapple River"
"4.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C267","42.7986370594","-85.5155437261","Lower Thornapple River"
"5.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C265","42.798672045","-85.5157347339","Lower Thornapple River"
"6.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C266","42.7987435554","-85.5156420764","Lower Thornapple River"
"7.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C272","42.7979358228","-85.5157183427","Lower Thornapple River"
"8.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C273","42.7976828449","-85.5155852394","Lower Thornapple River"
"9.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C274","42.7976991824","-85.5154797199","Lower Thornapple River"
"10.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C235","42.8000765295","-85.5154160072","Lower Thornapple River"
"11.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C236","42.8001468136","-85.5153904406","Lower Thornapple River"
"12.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C232","42.8000323345","-85.5139441961","Lower Thornapple River"
"13.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C233","42.8001018927","-85.5139759407","Lower Thornapple River"
"14.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C263","42.7990240894","-85.514728113","Lower Thornapple River"
"15.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C264","42.7990983271","-85.5147109405","Lower Thornapple River"
"16.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C261","42.7989681655","-85.5135053429","Lower Thornapple River"
"17.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C262","42.7990379794","-85.5134981518","Lower Thornapple River"
"18.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C237","42.8010283907","-85.5137436706","Lower Thornapple River"
"19.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C238","42.8010970456","-85.5137705069","Lower Thornapple River"
"20.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C245","42.8024512015","-85.5142540463","Lower Thornapple River"
"21.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C244","42.8022904622","-85.5142392864","Lower Thornapple River"
"22.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C243","42.8022933336","-85.5141232842","Lower Thornapple River"
"23.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C248","42.8018911668","-85.515496859","Lower Thornapple River"
