"FID","SUBTYPE","JURISDICTI","OWNER","LOCAL_ID","FACILITYID","Lat","Long","Subbasin","Shape_Le_2","Shape_Area"
"35613.0","0.0"," ","City of Grand Haven DPW","45119"," ","43.049318494","-86.2107546841","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35614.0","0.0"," ","City of Grand Haven DPW","45120"," ","43.0492217719","-86.2107522262","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35615.0","0.0"," ","City of Grand Haven DPW","45121"," ","43.0491637906","-86.2130921788","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35616.0","0.0"," ","City of Grand Haven DPW","45122"," ","43.0492591612","-86.2130548356","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35617.0","0.0"," ","City of Grand Haven DPW","45123"," ","43.0457111171","-86.1980470331","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35618.0","0.0"," ","City of Grand Haven DPW","45124"," ","43.0458084555","-86.1980542913","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35619.0","0.0"," ","City of Grand Haven DPW","45125"," ","43.0488231747","-86.199272206","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35620.0","0.0"," ","City of Grand Haven DPW","45126"," ","43.0487245739","-86.1992718928","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35621.0","0.0"," ","City of Grand Haven DPW","45127"," ","43.0489636858","-86.1970310599","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35622.0","0.0"," ","City of Grand Haven DPW","45128"," ","43.0496008292","-86.1981330566","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35623.0","0.0"," ","City of Grand Haven DPW","45129"," ","43.0496044827","-86.1980025222","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35624.0","0.0"," ","City of Grand Haven DPW","45130"," ","43.0502682491","-86.1980918177","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35625.0","0.0"," ","City of Grand Haven DPW","45131"," ","43.048820518","-86.2014323752","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35626.0","0.0"," ","City of Grand Haven DPW","45132"," ","43.048727089","-86.2014228842","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35627.0","0.0"," ","City of Grand Haven DPW","45133"," ","43.0488194942","-86.2027284893","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35628.0","0.0"," ","City of Grand Haven DPW","45134"," ","43.0487233872","-86.2027323473","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35629.0","0.0"," ","City of Grand Haven DPW","45135"," ","43.0488168258","-86.2040373391","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35630.0","0.0"," ","City of Grand Haven DPW","45136"," ","43.0487212782","-86.2040344955","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35631.0","0.0"," ","City of Grand Haven DPW","45137"," ","43.0489266467","-86.2054569231","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35632.0","0.0"," ","City of Grand Haven DPW","45138"," ","43.0489284823","-86.2055833332","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35633.0","0.0"," ","City of Grand Haven DPW","45139"," ","43.0470932909","-86.2055299165","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35634.0","0.0"," ","City of Grand Haven DPW","45140"," ","43.0470942691","-86.20539569","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35635.0","0.0"," ","City of Grand Haven DPW","45141"," ","43.0457629371","-86.2054877253","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35636.0","0.0"," ","City of Grand Haven DPW","45142"," ","43.0457650201","-86.2053577058","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35637.0","0.0"," ","City of Grand Haven DPW","45143"," ","43.0449118811","-86.2052609943","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35638.0","0.0"," ","City of Grand Haven DPW","45144"," ","43.0447834895","-86.2052446416","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35641.0","0.0"," ","City of Grand Haven DPW","45147"," ","43.0449211863","-86.1954838009","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35642.0","0.0"," ","City of Grand Haven DPW","45148"," ","43.0448040982","-86.1955981981","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
