"FID","SUBTYPE","JURISDICTI","OWNER","SOURCE","LOCAL_ID","FACILITYID","Lat","Long","Subbasin"
"0.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-10","43.1319878771","-86.1592007022","Spring Lake / Norris Creek"
"1.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-9","43.131988301","-86.1593572979","Spring Lake / Norris Creek"
"2.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-7","43.1319780175","-86.1568900117","Spring Lake / Norris Creek"
"3.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-8","43.1319761156","-86.1570488888","Spring Lake / Norris Creek"
"4.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-4","43.1319435916","-86.1552993301","Spring Lake / Norris Creek"
"5.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-5","43.1319433696","-86.1550488198","Spring Lake / Norris Creek"
"6.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-1","43.1309566237","-86.1552609997","Spring Lake / Norris Creek"
"7.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-2","43.1309568802","-86.155111361","Spring Lake / Norris Creek"
"8.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-12","43.1303037835","-86.1550571565","Spring Lake / Norris Creek"
"9.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-13","43.1301525364","-86.1550685704","Spring Lake / Norris Creek"
"10.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-16","43.1293522683","-86.1551308158","Spring Lake / Norris Creek"
"11.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-17","43.1293516958","-86.155298331","Spring Lake / Norris Creek"
"12.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-15","43.128966303","-86.1551326293","Spring Lake / Norris Creek"
"13.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","C-14","43.1285423579","-86.1551141683","Spring Lake / Norris Creek"
"14.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","E-8","43.128344816","-86.1553563469","Spring Lake / Norris Creek"
"15.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","E-5","43.1280589297","-86.1551479991","Spring Lake / Norris Creek"
"16.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","E-7","43.1280582883","-86.1553157524","Spring Lake / Norris Creek"
"17.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","E-6","43.1280347896","-86.1553524114","Spring Lake / Norris Creek"
"18.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","E-4","43.1276841401","-86.1551553847","Spring Lake / Norris Creek"
"19.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","E-3","43.1272576076","-86.1551349801","Spring Lake / Norris Creek"
"20.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","E-1","43.1270627121","-86.1553191981","Spring Lake / Norris Creek"
"21.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","E-2","43.1270577469","-86.1551107389","Spring Lake / Norris Creek"
"22.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","X-3","43.1244638247","-86.1551515799","Spring Lake / Norris Creek"
"23.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","X-1","43.1244856546","-86.1553945142","Spring Lake / Norris Creek"
"24.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","J-1","43.1242392052","-86.1553483382","Spring Lake / Norris Creek"
"25.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","X-4","43.1243209373","-86.1551482481","Spring Lake / Norris Creek"
"26.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","J-3","43.1237672651","-86.1551809381","Spring Lake / Norris Creek"
"27.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","J-2","43.1237915631","-86.1553522436","Spring Lake / Norris Creek"
"28.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","N-2","43.1231063384","-86.1551896923","Spring Lake / Norris Creek"
"29.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","J-4","43.1230336146","-86.1554080892","Spring Lake / Norris Creek"
"30.0","1.0","Village of Fruitport","Village of Fruitport"," "," ","N-3","43.122612705","-86.1552212332","Spring Lake / Norris Creek"
